 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 11:6:59, 16/3/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1           5           1           1   3.0911905881216497        20.550662499434377     
           2          21           1           1   2.3900802493353863        5.2213889551225288     
           3          73           1           1   1.5478341391329329        2.7003994984274735     
           4         233           1           1  0.65795326045784641       0.90435334312829985     
           5         583           1           1  0.25762480127700216       0.37882985683981019     
           6        1507           1           1  0.12093223280096274       0.16684525235729988     
           7        3963           1           1   5.3490587216474407E-002   7.1981023718268047E-002
           8        8503           1           1   2.0618796206088360E-002   3.3138151811271742E-002
           9       22133           1           1   9.4104655252358407E-003   1.3724512079014367E-002
          10       54007           1           1   3.9324772426567517E-003   6.5072498029545853E-003
          11      122097           1           1   1.4838888570030562E-003   2.4174194929630494E-003
