 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 12:37:4, 6/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Empty 
           1           5           1           1   3.0911905881216750        0.0000000000000000     
           2          21           3           3   4.0667853809878602        0.0000000000000000     
           3         141           2           3  0.37478773664099518        0.0000000000000000     
           4         373           3           5  0.19561518643152831        0.0000000000000000     
           5         701           2           5   4.1039102866505452E-002   0.0000000000000000     
           6        1113           3           7   1.5406743468547946E-002   0.0000000000000000     
           7        1361           2           7   7.1898876848344364E-003   0.0000000000000000     
           8        1909           3           9   2.4046163341476376E-003   0.0000000000000000     
           9        2299           2           9   1.5466025884841241E-003   0.0000000000000000     
          10        2573           3           9   4.5466854512531330E-004   0.0000000000000000     
          11        3473           2           9   2.4677816193255711E-004   0.0000000000000000     
          12        4641           3           9   1.0127605975874122E-004   0.0000000000000000     
          13        5089           2           9   3.8889859161799769E-005   0.0000000000000000     
          14        7311           3          11   1.5854506482665508E-005   0.0000000000000000     
          15        7643           3          11   6.1059875956920586E-006   0.0000000000000000     
          16        9115           3          11   1.6350898562016583E-006   0.0000000000000000     
          17        9587           2          11   1.5419178885895058E-006   0.0000000000000000     
          18       11445           3          11   6.4851719991276836E-007   0.0000000000000000     
          19       11599           2          11   2.9635964633150781E-007   0.0000000000000000     
          20       13307           3          11   1.0376766880321733E-007   0.0000000000000000     
          21       14943           2          11   4.2235336669898554E-008   0.0000000000000000     
          22       16671           3          11   2.0341800379428598E-008   0.0000000000000000     
          23       18643           2          11   6.5639864706075414E-009   0.0000000000000000     
          24       20441           3          11   2.7890551021762290E-009   0.0000000000000000     
          25       22837           2          11   1.4674857188252429E-009   0.0000000000000000     
          26       25841           3          11   1.1462986895424924E-009   0.0000000000000000     
          27       28537           2          11   4.5741227146287502E-010   0.0000000000000000     
