 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 15:1:43, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1         175           1           1   639.63099886849579        6.7320193973290605     
           2         433           3           3   46.863184679202362        4.0489052572944804     
           3        1659           2           3   8.6139491866541587       0.14076924730067039     
           4        5933           4           5  0.23829998712434652        5.0227949607605958E-003
           5        5335           3           5   9.9148507757337204E-002   4.1652508809659908E-004
           6        6251           4           7   3.5607528097896746E-002   3.1063439660816862E-004
           7        4813           2           7   2.3209916213175565E-002   1.5604024634237451E-003
           8        5305           3           9   1.3461679999646184E-002   1.5775445584657794E-003
           9        6044           2           9   3.9095937138244261E-003   1.3706007497712878E-006
          10        6844           2          11   1.6161053653978568E-003   2.0425896021886867E-006
          11        8397           1          11   6.0358972583882456E-004   1.4031516239307087E-006
          12        9361           2          11   2.4086564575105719E-004   2.0332158895299633E-006
          13       10210           2          11   9.5265770261775725E-005   2.2758137520171628E-006
          14       11538           3          11   1.6325976409254370E-005   2.3737480083543943E-006
          15       11869           2          11   3.1406060698739502E-005   2.4518856925028173E-006
          16       13422           3          11   1.2055147803836897E-005   2.4254114801841876E-006
          17       13583           2          11   5.1423523395418225E-006   2.4292026609056111E-006
          18       15101           3          11   2.4067329150023961E-006   2.4377537803453991E-006
          19       16341           2          11   1.2531654431220363E-006   2.4378586164653855E-006
          20       17914           3          11   8.3762442968449170E-007   2.4386780877277155E-006
          21       19497           2          11   6.4303333511877375E-007   2.4381842909425255E-006
